tag,name,location,purchaseDate,unitCost,status,assigned
DMS00,Beelink Mini PC,HQ - Room 101,2019-01-01,1700.51,IN_STOCK,false
DMS01,APC UPS 1500VA,Print Room,2019-01-31,1534.06,ASSIGNED,true
DMS02,Canon EOS R10,Lab,2019-03-02,884.60,REPAIR,false
DMS03,Keychron K6,Field,2019-04-01,573.41,RETIRED,false
DMS04,Samsung 27in Monitor,Sales,2019-05-01,1354.35,IN_STOCK,false
DMS05,Dell Latitude 5440,R&D,2019-05-31,1732.22,ASSIGNED,true
DMS06,Ubiquiti UniFi AP,Secure Desk,2019-06-30,1672.94,REPAIR,false
DMS07,Synology NAS,Server Closet,2019-07-30,1780.78,RETIRED,false
DMS08,Gaming Laptop,HQ - Room 102,2019-08-29,1480.50,IN_STOCK,false
DMS09,Label Printer,Print Room,2019-09-28,1916.09,ASSIGNED,true
DMS10,Beelink Mini PC,Lab,2019-10-28,1903.70,REPAIR,false
DMS11,APC UPS 1500VA,Field,2019-11-27,1735.41,RETIRED,false
DMS12,Canon EOS R10,Sales,2019-12-27,1464.84,IN_STOCK,false
DMS13,Keychron K6,R&D,2020-01-26,1629.31,ASSIGNED,true
DMS14,Samsung 27in Monitor,Secure Desk,2020-02-25,1854.77,REPAIR,false
DMS15,Dell Latitude 5440,Server Closet,2020-03-26,1686.20,RETIRED,false
DMS16,Ubiquiti UniFi AP,HQ - Room 101,2020-04-25,1585.73,IN_STOCK,false
DMS17,Synology NAS,Print Room,2020-05-25,1187.86,ASSIGNED,true
DMS18,Gaming Laptop,Lab,2020-06-24,966.39,REPAIR,false
DMS19,Label Printer,Field,2020-07-24,1327.62,RETIRED,false
DMS20,Beelink Mini PC,Sales,2020-08-23,1625.93,IN_STOCK,false
DMS21,APC UPS 1500VA,R&D,2020-09-22,1528.63,ASSIGNED,true
DMS22,Canon EOS R10,Secure Desk,2020-10-22,1003.02,REPAIR,false
DMS23,Keychron K6,Server Closet,2020-11-21,1763.04,RETIRED,false
DMS24,Samsung 27in Monitor,HQ - Room 102,2020-12-21,1481.74,IN_STOCK,false
DMS25,Dell Latitude 5440,Print Room,2021-01-20,1542.11,ASSIGNED,true
DMS26,Ubiquiti UniFi AP,Lab,2021-02-19,1080.34,REPAIR,false
DMS27,Synology NAS,Field,2021-03-21,1004.88,RETIRED,false
DMS28,Gaming Laptop,Sales,2021-04-20,1544.90,IN_STOCK,false
DMS29,Label Printer,R&D,2021-05-20,1780.59,ASSIGNED,true
DMS30,Beelink Mini PC,Secure Desk,2021-06-19,1294.66,REPAIR,false
DMS31,APC UPS 1500VA,Server Closet,2021-07-19,1374.20,RETIRED,false
DMS32,Canon EOS R10,HQ - Room 101,2021-08-18,1983.51,IN_STOCK,false
DMS33,Keychron K6,Print Room,2021-09-17,1008.77,ASSIGNED,true
DMS34,Samsung 27in Monitor,Lab,2021-10-17,1887.84,REPAIR,false
DMS35,Dell Latitude 5440,Field,2021-11-16,1631.65,RETIRED,false
DMS36,Ubiquiti UniFi AP,Sales,2021-12-16,1645.49,IN_STOCK,false
DMS37,Synology NAS,R&D,2022-01-15,1781.39,ASSIGNED,true
DMS38,Gaming Laptop,Secure Desk,2022-02-14,1765.66,REPAIR,false
DMS39,Label Printer,Server Closet,2022-03-16,1580.86,RETIRED,false
DMS40,Beelink Mini PC,HQ - Room 102,2022-04-15,1420.10,IN_STOCK,false
DMS41,APC UPS 1500VA,Print Room,2022-05-15,1510.75,ASSIGNED,true
DMS42,Canon EOS R10,Lab,2022-06-14,1120.90,REPAIR,false
DMS43,Keychron K6,Field,2022-07-14,980.25,RETIRED,false
DMS44,Samsung 27in Monitor,Sales,2022-08-13,1750.30,IN_STOCK,false
DMS45,Dell Latitude 5440,R&D,,1499.99,ASSIGNED,true
DMS46,Ubiquiti UniFi AP,Secure Desk,2021/15/10,1300.00,IN_STOCK,false
DMS47,Synology NAS,Server Closet,2022-09-12,-500.00,IN_STOCK,false
DMS48,Gaming Laptop,HQ - Room 101,2022-10-11,1899.95,BROKEN,false
DMS49,Label Printer,Print Room,2022-11-10,450.00,IN_STOCK,maybe
